http://www.gazzetta.it/Sport-Usa/,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/29-51555262/eccellenza_a_-_cambio_alla_guida_de_la_pianese_esonerato_riccardo_rista/,26.8%
http://www.gazzetta.it/Rugby/,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/12-51021883/serie_d_-_borgaro_sempre_piu_giu_il_borgosesia_cala_il_tris/,25.84%
http://www.gazzetta.it/Volley/,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/17-51206290/kaly_sene_infiamma_il_mercato_juve_toro_sampdoria_e_virtus_entella_si_sfidano_per_l_attaccante/,22.43%
http://www.gazzetta.it/Sport-Vari/,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/29-51555262/eccellenza_a_-_cambio_alla_guida_de_la_pianese_esonerato_riccardo_rista/,27.69%
http://www.gazzetta.it/Altri-Mondi/,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/19-51275274/under_15_regionali_-_venaria_tre_colpi_di_mercato_per_sognare_in_grande/,27.55%
http://www.gazzetta.it/magic/home/,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/13-51051600/prima_categoria_e_-_villar_perosa_che_colpaccio_dal_pinerolo_e_in_arrivo_un_bomber_di_razza/,26.98%
http://www.gazzetta.it/mappa_sito.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/20-51295658/prima_categoria_c_-_cirie_si_dimette_il_tecnico_de_vita_ecco_chi_e_stato_scelto_al_suo_posto/,27.15%
http://www.gazzetta.it/redazione.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/18-51248556/promozione_c_-_roretese_presentata_una_lettera_di_polemica_in_merito_alla_gara_contro_il_bsr_grugliasco/,25.11%
http://www.gazzetta.it/privacy.shtml?ref=cuponation,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/20-51295658/prima_categoria_c_-_cirie_si_dimette_il_tecnico_de_vita_ecco_chi_e_stato_scelto_al_suo_posto/,28.33%
http://www.gazzetta.it/privacy_community.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/20-51295658/prima_categoria_c_-_cirie_si_dimette_il_tecnico_de_vita_ecco_chi_e_stato_scelto_al_suo_posto/,28.95%
http://www.gazzetta.it/includes_methode/cache/central-article-full.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/19-51275548/prima_categoria_c_-_valdruento_ufficiali_le_dimissioni_del_tecnico_balla_il_sostituto_e_una_soluzione_interna_/,28.68%
http://www.gazzetta.it/Sportlife/oroscopo/ariete.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/17-51206290/kaly_sene_infiamma_il_mercato_juve_toro_sampdoria_e_virtus_entella_si_sfidano_per_l_attaccante/,29.41%
http://www.gazzetta.it/Sportlife/oroscopo/toro.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/13-51051600/prima_categoria_e_-_villar_perosa_che_colpaccio_dal_pinerolo_e_in_arrivo_un_bomber_di_razza/,29.18%
http://www.gazzetta.it/Sportlife/oroscopo/gemelli.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/17-51206290/kaly_sene_infiamma_il_mercato_juve_toro_sampdoria_e_virtus_entella_si_sfidano_per_l_attaccante/,29.29%
http://www.gazzetta.it/Sportlife/oroscopo/cancro.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/13-51051600/prima_categoria_e_-_villar_perosa_che_colpaccio_dal_pinerolo_e_in_arrivo_un_bomber_di_razza/,30.64%
http://www.gazzetta.it/Sportlife/oroscopo/leone.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/13-51051600/prima_categoria_e_-_villar_perosa_che_colpaccio_dal_pinerolo_e_in_arrivo_un_bomber_di_razza/,29.91%
http://www.gazzetta.it/Sportlife/oroscopo/vergine.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/13-51051600/prima_categoria_e_-_villar_perosa_che_colpaccio_dal_pinerolo_e_in_arrivo_un_bomber_di_razza/,29.66%
http://www.gazzetta.it/Sportlife/oroscopo/bilancia.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/17-51206290/kaly_sene_infiamma_il_mercato_juve_toro_sampdoria_e_virtus_entella_si_sfidano_per_l_attaccante/,29.17%
http://www.gazzetta.it/Sportlife/oroscopo/scorpione.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/13-51051600/prima_categoria_e_-_villar_perosa_che_colpaccio_dal_pinerolo_e_in_arrivo_un_bomber_di_razza/,30.25%
http://www.gazzetta.it/Sportlife/oroscopo/sagittario.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/13-51051600/prima_categoria_e_-_villar_perosa_che_colpaccio_dal_pinerolo_e_in_arrivo_un_bomber_di_razza/,31.8%
http://www.gazzetta.it/Sportlife/oroscopo/capricorno.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/13-51051600/prima_categoria_e_-_villar_perosa_che_colpaccio_dal_pinerolo_e_in_arrivo_un_bomber_di_razza/,30.96%
http://www.gazzetta.it/Sportlife/oroscopo/acquario.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/14-51092937/seconda_categoria_f_-_borgaretto_rivoluzione_totale_via_tutti_e_arriva_prago_in_compagnia_di_16_nuovi_acquisti/,28.91%
http://www.gazzetta.it/Sportlife/oroscopo/pesci.shtml,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/17-51206290/kaly_sene_infiamma_il_mercato_juve_toro_sampdoria_e_virtus_entella_si_sfidano_per_l_attaccante/,27.85%
http://www.gazzetta.it/blog/,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/15-51120959/calciomercato_cbs_-_i_movimenti_della_societa_rossonera_in_tutte_le_categorie/,24.62%
http://www.gazzetta.it/Basket/A2/,http://www.tuttosport.com/news/calcio-dilettanti/dilettanti-piemonte/2018/12/19-51274269/promozione_b_-_esperanza_finisce_l_era_casalis_ufficiale_l_esonero_del_tecnico/,23.88%
http://www.gazzetta.it/Foto-Gallery/Basket/21-01-2018/megarissa-bologna-3-espulsi-2401071969587.shtml,http://www.tuttosport.com/foto/calcio/serie-a/juventus/2018/12/28-51524081/juventus_cristiano_ronaldo_in_cifre_uomo_brand_che_pu_sfondare_il_tetto_di_110_milioni_di_euro/,35.42%
http://www.gazzetta.it/Foto-Gallery/Basket/09-12-2017/matrimonio-chiesa-dan-peterson-laura-240102143495.shtml,http://www.tuttosport.com/foto/calcio/serie-a/juventus/2018/12/27-51514050/calciomercato_sofie_junge_pedersen_il_nuovo_acquisto_della_juventus_women/?a=5,37.4%
http://www.gazzetta.it/Foto-Gallery/Basket/17-09-2017/a-istanbul-festa-slovena-220658477242.shtml,http://www.tuttosport.com/foto/calcio/serie-a/inter/2018/12/18-51252173/inter_wanda_e_le_altre_wags_illuminano_la_festa_di_natale/,39.65%
http://www.gazzetta.it/Foto-Gallery/Basket/02-09-2017/i-complimenti-popovich-belinelli-220290407072.shtml,http://www.tuttosport.com/news/basket/nba/2018/12/08-50836054/nba_la_juventus_porta_fortuna_ai_nets_belinelli_supera_lebron_james/,40%
http://www.gazzetta.it/Foto-Gallery/Basket/30-08-2017/eurobasket-12-azzurri-messina-220204162113.shtml,http://www.tuttosport.com/news/basket/2018/12/27-51515362/basket_fiat_torino_rescinde_il_coach_brown_al_suo_posto_galbiati/,40%
